c.description,_c2
AirTran Airways Corporation,263159
Alaska Airlines Inc.,160185
Aloha Airlines Inc.,46360
American Airlines Inc.,633857
American Eagle Airlines Inc.,540494
Atlantic Southeast Airlines,286234
Comair Inc.,233787
Continental Air Lines Inc.,323151
Delta Air Lines Inc.,475889
Expressjet Airlines Inc.,434773
Frontier Airlines Inc.,97760
Hawaiian Airlines Inc.,56175
JetBlue Airways,191450
Mesa Airlines Inc.,294362
Northwest Airlines Inc.,414526
Pinnacle Airlines Inc.,258851
Skywest Airlines Inc.,597882
Southwest Airlines Co.,1168871
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),485447
United Air Lines Inc.,490002
