countcancelledquery.uniquecarrier,cities,cancelledflights
MQ,"Abilene,Albany,Alexandria,Amarillo,Arlington,Atlanta,Austin,Baltimore,Bangor,Baton Rouge,Birmingham,Bloomington,Boston,Buffalo,Cedar Rapids,Champaign/Urbana,Chantilly,Charleston,Charlotte,Chattanooga,Chicago,Cleveland,College Station,Colorado Springs,Columbia,Columbus,Corpus Christi,Covington,Dallas,Dallas-Fort Worth,Dayton,Des Moines,Detroit,Dubuque,Evansville,Fayetteville/Springdale/Rogers,Flint,Fort Smith,Fort Wayne,Fresno,Grand Rapids,Green Bay,Greensboro,Greer,Gulfport-Biloxi,Harrisburg,Houston,Huntsville,Indianapolis,Jackson,Jacksonville,Kalamazoo,Kansas City,Killeen,Knoxville,La Crosse,Lafayette,Laredo,Las Vegas,Lawton,Lexington,Little Rock,Longview,Los Angeles,Louisville,Lubbock,Madison,Memphis,Miami,Midland,Milwaukee,Mobile,Moline,Monroe,Monterey,NA,Nashville,New York,Newark,Newburgh,Norfolk,Oklahoma City,Omaha,Pensacola,Peoria,Pittsburgh,Providence,Raleigh,Richmond,Rochester,San Angelo,San Antonio,San Diego,San Francisco,San Jose,San Luis Obispo,Santa Ana,Santa Barbara,Savannah,Shreveport,Springfield,St Louis,Syracuse,Texarkana,Toledo,Traverse City,Tulsa,Tyler,Valparaiso,Waco,White Plains,Wichita,Wichita Falls,Windsor Locks",22791
AA,"Albuquerque,Arlington,Atlanta,Austin,Baltimore,Birmingham,Boston,Burbank,Chantilly,Charlotte,Charlotte Amalie,Chicago,Christiansted,Colorado Springs,Columbus,Dallas,Dallas-Fort Worth,Dayton,Denver,Detroit,Eagle,El Paso,Fayetteville/Springdale/Rogers,Fresno,Ft. Lauderdale,Ft. Myers,Greensboro,Gunnison,Hayden,Honolulu,Houston,Huntsville,Indianapolis,Jackson,Jacksonville,Kailua/Kona,Kansas City,Las Vegas,Los Angeles,Louisville,McAllen,Memphis,Miami,Minneapolis,Nashville,New Orleans,New York,Newark,Norfolk,Oakland,Oklahoma City,Omaha,Ontario,Orlando,Palm Springs,Philadelphia,Phoenix,Portland,Raleigh,Reno,Richmond,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,San Juan,Santa Ana,Seattle,St Louis,Tampa,Tucson,Tulsa,West Palm Beach,Wichita,Windsor Locks",17921
OO,"Akron,Albuquerque,Allentown,Appleton,Arcata/Eureka,Aspen,Atlanta,Austin,Bakersfield,Baltimore,Bellingham,Billings,Birmingham,Bismarck,Boise,Bozeman,Buffalo,Burbank,Burlington,Butte,Casper,Cedar Rapids,Charleston,Charlotte,Chicago,Chico,Cleveland,Cody,Colorado Springs,Columbus,Covington,Crescent City,Dallas-Fort Worth,Dayton,Denver,Des Moines,Detroit,Durango,El Paso,Elko,Eugene,Fargo,Fayetteville/Springdale/Rogers,Fort Wayne,Fresno,Grand Junction,Grand Rapids,Great Falls,Green Bay,Greer,Gunnison,Hailey,Hayden,Helena,Houston,Huntsville,Idaho Falls,Imperial,Indianapolis,Inyokern,Jackson,Jacksonville,Kalamazoo,Kalispell,Kansas City,Knoxville,Lansing,Las Vegas,Lexington,Lincoln,Little Rock,Long Beach,Los Angeles,Louisville,Madison,Medford,Memphis,Milwaukee,Minneapolis,Missoula,Modesto,Moline,Monterey,Montrose,Mosinee,NA,Nashville,New Orleans,Newark,Norfolk,Oakland,Oklahoma City,Omaha,Ontario,Oxnard,Palm Springs,Palmdale,Pasco,Peoria,Philadelphia,Phoenix,Pittsburgh,Pocatello,Portland,Raleigh,Rapid City,Redding,Redmond,Reno,Roanoke,Rockford,Sacramento,Saginaw,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,San Luis Obispo,Santa Ana,Santa Barbara,Santa Maria,Savannah,Seattle,Sioux Falls,South Bend,Spokane,Springfield,St George,Syracuse,Traverse City,Tucson,Tulsa,Twin Falls,White Plains,Wichita,Wilkes-Barre/Scranton,Windsor Locks,Yuma",14180
UA,"Albany,Albuquerque,Arlington,Atlanta,Austin,Baltimore,Billings,Boise,Boston,Buffalo,Burbank,Burlington,Chantilly,Charlotte,Chicago,Cleveland,Columbus,Covington,Dallas-Fort Worth,Dayton,Denver,Des Moines,Detroit,Eagle,Ft. Lauderdale,Ft. Myers,Grand Rapids,Greensboro,Harrisburg,Hayden,Honolulu,Houston,Indianapolis,Jackson,Jacksonville,Kailua/Kona,Kansas City,Las Vegas,Los Angeles,Manchester,Miami,Minneapolis,New Orleans,New York,Newark,Oakland,Oklahoma City,Omaha,Ontario,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Reno,Richmond,Rochester,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,San Juan,Santa Ana,Seattle,Sioux Falls,Spokane,St Louis,Tampa,Tucson,Tulsa,West Palm Beach,Wichita,Windsor Locks",11923
YV,"Akron,Albany,Albuquerque,Allentown,Appleton,Aspen,Atlanta,Austin,Bakersfield,Baltimore,Birmingham,Bloomington,Boise,Boston,Buffalo,Burbank,Casper,Cedar Rapids,Chantilly,Charleston,Charlotte,Chicago,Cleveland,Cody,Colorado Springs,Columbia,Columbus,Dallas-Fort Worth,Daytona Beach,Denver,Des Moines,Detroit,Durango,Eagle,El Paso,Eugene,Flagstaff,Fort Wayne,Fresno,Grand Junction,Green Bay,Greensboro,Greer,Gunnison,Harrisburg,Hayden,Hilo,Honolulu,Houston,Huntsville,Indianapolis,Jackson,Jacksonville,Kahului,Kailua/Kona,Kansas City,Lansing,Las Vegas,Lihue,Long Beach,Los Angeles,Madison,Manchester,Medford,Memphis,Minneapolis,Moline,Monterey,Montrose,Mosinee,Myrtle Beach,NA,Nashville,New Orleans,New York,Newark,Norfolk,Oakland,Oklahoma City,Ontario,Palm Springs,Pensacola,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Rapid City,Reno,Richmond,Roanoke,Rochester,Sacramento,Saginaw,Salt Lake City,San Antonio,San Francisco,San Jose,San Luis Obispo,Santa Ana,Santa Barbara,Sarasota,Savannah,Sioux Falls,South Bend,Springfield,St Louis,Syracuse,Telluride,Traverse City,Tucson,Wichita,Wilkes-Barre/Scranton,Wilmington,Windsor Locks,Yuma",11282
XE,"Albany,Albuquerque,Alexandria,Allentown,Amarillo,Arlington,Asheville,Atlanta,Austin,Bakersfield,Baltimore,Bangor,Baton Rouge,Beaumont/Port Arthur,Birmingham,Boston,Brownsville,Buffalo,Burlington,Chantilly,Charleston,Charlotte,Chattanooga,Chicago,Cleveland,College Station,Colorado Springs,Columbia,Columbus,Corpus Christi,Covington,Dallas,Dallas-Fort Worth,Dayton,Daytona Beach,Denver,Des Moines,Detroit,El Paso,Fayetteville/Springdale/Rogers,Fresno,Grand Rapids,Greensboro,Greer,Gulfport-Biloxi,Harlingen,Harrisburg,Houston,Huntsville,Indianapolis,Jackson,Jacksonville,Kansas City,Killeen,Knoxville,Lafayette,Lake Charles,Laredo,Lexington,Little Rock,Long Beach,Los Angeles,Louisville,Lubbock,Madison,Manchester,McAllen,Memphis,Miami,Midland,Milwaukee,Minneapolis,Mobile,Monroe,Monterey,Montgomery,Nantucket,Nashville,New Orleans,New York,Newark,Norfolk,Oakland,Oklahoma City,Omaha,Ontario,Pensacola,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Reno,Richmond,Rochester,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,Savannah,Shreveport,Spokane,St Louis,Syracuse,Tallahassee,Tucson,Tulsa,Valparaiso,West Palm Beach,White Plains,Wichita,Windsor Locks",10791
WN,"Albany,Albuquerque,Amarillo,Austin,Baltimore,Birmingham,Boise,Buffalo,Burbank,Chantilly,Chicago,Cleveland,Columbus,Corpus Christi,Dallas,Denver,Detroit,El Paso,Ft. Lauderdale,Ft. Myers,Harlingen,Houston,Indianapolis,Islip,Jackson,Jacksonville,Kansas City,Las Vegas,Little Rock,Los Angeles,Louisville,Lubbock,Manchester,Midland,Nashville,New Orleans,Norfolk,Oakland,Oklahoma City,Omaha,Ontario,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Reno,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,Santa Ana,Seattle,Spokane,St Louis,Tampa,Tucson,Tulsa,West Palm Beach,Windsor Locks",9993
US,"Albany,Albuquerque,Allentown,Anchorage,Arlington,Atlanta,Austin,Baltimore,Boise,Boston,Buffalo,Burbank,Burlington,Chantilly,Charleston,Charlotte,Charlotte Amalie,Chicago,Cleveland,Columbus,Dallas-Fort Worth,Denver,Detroit,El Paso,Ft. Lauderdale,Ft. Myers,Harrisburg,Honolulu,Houston,Indianapolis,Jacksonville,Kahului,Kailua/Kona,Kansas City,Las Vegas,Lihue,Los Angeles,Manchester,Miami,Milwaukee,Minneapolis,Myrtle Beach,Nashville,New Orleans,New York,Newark,Norfolk,Oakland,Omaha,Ontario,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Raleigh,Reno,Richmond,Rochester,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,San Juan,Santa Ana,Sarasota,Savannah,Seattle,St Louis,Syracuse,Tampa,Tucson,West Palm Beach,Windsor Locks",8940
EV,"Akron,Albany,Alexandria,Allentown,Appleton,Arlington,Asheville,Atlanta,Atlantic City,Augusta,Austin,Baltimore,Bangor,Baton Rouge,Binghamton,Birmingham,Bloomington,Boston,Bristol,Brunswick,Buffalo,Burlington,Cedar Rapids,Chantilly,Charleston,Charlotte,Charlottesville,Chattanooga,Chicago,Cleveland,Columbia,Columbus,Columbus-Starkville-West Point,Corpus Christi,Covington,Dallas-Fort Worth,Dayton,Daytona Beach,Denver,Des Moines,Detroit,Dothan,Erie,Evansville,Fayetteville,Fayetteville/Springdale/Rogers,Flint,Florence,Fort Smith,Fort Wayne,Gainesville,Grand Rapids,Green Bay,Greensboro,Greer,Gulfport-Biloxi,Harrisburg,Houston,Huntsville,Indianapolis,Islip,Jackson,Jacksonville,Kalamazoo,Kansas City,Key West,Killeen,Knoxville,Lafayette,Lansing,Las Vegas,Lexington,Little Rock,Los Angeles,Louisville,Lynchburg,Macon,Madison,Manchester,McAllen,Melbourne,Memphis,Meridian,Milwaukee,Minneapolis,Mobile,Moline,Monroe,Montgomery,Myrtle Beach,NA,Naples,Nashville,New Bern,New Orleans,New York,Newark,Newburgh,Newport News,Norfolk,Oakland,Oklahoma City,Omaha,Palm Springs,Panama City,Pensacola,Peoria,Philadelphia,Pinehurst/Southern Pines,Pittsburgh,Portland,Providence,Raleigh,Reno,Richmond,Roanoke,Rochester,Sacramento,Salt Lake City,San Antonio,San Francisco,Sarasota,Savannah,Shreveport,Sioux Falls,South Bend,Springfield,St Louis,Syracuse,Tallahassee,Toledo,Tulsa,Tupelo,Valdosta,Valparaiso,White Plains,Wichita,Wilkes-Barre/Scranton,Wilmington,Windsor Locks",8914
OH,"Akron,Albany,Allentown,Appleton,Arlington,Atlanta,Atlantic City,Austin,Baltimore,Bangor,Baton Rouge,Birmingham,Boston,Buffalo,Burlington,Cedar Rapids,Chantilly,Charleston,Charlotte,Charlottesville,Chattanooga,Chicago,Cleveland,Colorado Springs,Columbia,Columbus,Covington,Dallas-Fort Worth,Dayton,Denver,Des Moines,Detroit,Ft. Myers,Grand Rapids,Green Bay,Greensboro,Greer,Harrisburg,Houston,Huntington,Huntsville,Indianapolis,Jackson,Jacksonville,Kalamazoo,Kansas City,Knoxville,Lansing,Lexington,Little Rock,Louisville,Madison,Manchester,Memphis,Miami,Milwaukee,Minneapolis,Myrtle Beach,NA,Nashville,New Orleans,New York,Newark,Newport News,Norfolk,Oklahoma City,Omaha,Orlando,Pensacola,Philadelphia,Pittsburgh,Portland,Providence,Raleigh,Richmond,Roanoke,Rochester,San Antonio,Sarasota,Savannah,Sioux Falls,Springfield,St Louis,Syracuse,Tallahassee,Trenton,Tulsa,West Palm Beach,White Plains,Wilkes-Barre/Scranton,Windsor Locks",8847
